status,vencedor_nome,vencedor_estrategia,turnos_vencedor,cartas_puxadas,tempo_s,estrategias_jogadores,cartas_finais
Vencedor,Júlio,strategy_offensive,7,0,0.00011110305786132812,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 10, 'Douglas': 5}"
Vencedor,Douglas,strategy_optimized_discard,15,6,0.0002372264862060547,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 4, 'Douglas': 0}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.00013709068298339844,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 16, 'Douglas': 0}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.00014781951904296875,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 13, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,9,2,0.00013875961303710938,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 7, 'Bia': 0, 'Douglas': 2}"
Vencedor,Júlio,strategy_offensive,19,6,0.00020837783813476562,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 2, 'Douglas': 2}"
Vencedor,Júlio,strategy_offensive,13,5,0.00020170211791992188,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 8, 'Douglas': 2}"
Vencedor,Bia,strategy_conservation,7,0,0.0001251697540283203,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 0, 'Douglas': 13}"
Vencedor,Júlio,strategy_offensive,9,1,0.0001323223114013672,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 8, 'Douglas': 2}"
Vencedor,Bia,strategy_conservation,45,24,0.0006084442138671875,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 0, 'Douglas': 5}"
Vencedor,Bia,strategy_conservation,15,8,0.000247955322265625,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 0, 'Douglas': 14}"
Vencedor,Júlio,strategy_offensive,23,10,0.00036072731018066406,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 10, 'Douglas': 6}"
Vencedor,Júlio,strategy_offensive,51,27,0.0007014274597167969,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 3, 'Douglas': 2}"
Vencedor,Bia,strategy_conservation,17,10,0.0003113746643066406,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 4, 'Bia': 0, 'Douglas': 9}"
Vencedor,Douglas,strategy_optimized_discard,25,13,0.00036334991455078125,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 3, 'Bia': 1, 'Douglas': 0}"
Vencedor,Júlio,strategy_offensive,17,7,0.0002703666687011719,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 5, 'Douglas': 5}"
Vencedor,Júlio,strategy_offensive,7,0,0.0001232624053955078,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 0, 'Bia': 11, 'Douglas': 5}"
Vencedor,Douglas,strategy_optimized_discard,7,0,0.00010561943054199219,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 13, 'Bia': 2, 'Douglas': 0}"
Vencedor,Bia,strategy_conservation,25,12,0.00032258033752441406,"{'Júlio': 'strategy_offensive', 'Bia': 'strategy_conservation', 'Douglas': 'strategy_optimized_discard'}","{'Júlio': 5, 'Bia': 0, 'Douglas': 4}"
